id,20_60T9_18,weekend,total_tourists
4464.0,1197.6188549,2924.9080769,4122.5269318
4462.0,1084.3264504,2479.8076923,3564.1341426999998
4463.0,1745.1267557,3787.3918269,5532.5185826
4400.0,1139.8494274,2614.2458653,3754.0952927
4398.0,704.4210687,2202.5576922,2906.9787609
4399.0,731.4998854,1727.81875,2459.3186354
4397.0,826.970687,2601.8317308,3428.8024178
4590.0,389.41725188,714.87163453,1104.28888641
4591.0,786.7326718,1477.6306731,2264.3633449
4589.0,556.4665649,1707.3808654,2263.8474303
4528.0,926.6838931,2343.0349999,3269.718893
4526.0,562.8250764,1595.1256731,2157.9507495
4527.0,1107.582481,2902.0030768,4009.5855578
4336.0,1126.79702295,2926.3764426,4053.1734655499995
4334.0,399.78896944,1604.4723077,2004.2612771400002
4335.0,333.19931297,1269.8498076,1603.04912057
4272.0,249.16847328,991.4722115,1240.64068478
4270.0,773.10675572,2157.9897116,2931.09646732
4271.0,396.13351139,1143.3783655,1539.51187689
4714.0,1193.9324428,3649.4535574,4843.3860002
4654.0,849.6287786,1532.5109615,2382.1397401
4652.0,1687.0480153,6083.295865,7770.3438803
4653.0,839.3877099,1778.6700961,2618.057806
4651.0,1152.9219466,4301.6977878,5454.619734399999
