id,20_60T9_18,weekend,total_tourists
3689.0,1261.5151908,2287.2958654,3548.8110562
3622.0,670.9651909,2014.6773077,2685.6424986
3623.0,634.99843513,1908.1135577,2543.11199283
3621.0,1127.759084,3265.9891347,4393.7482187
3626.0,1150.2310688,1847.6751923,2997.9062611
3627.0,2164.5017558,2958.9986533,5123.5004091
3817.0,2403.6753817,4396.4664422,6800.1418238999995
3752.0,896.5369847,1719.5162497,2616.0532344
3753.0,1207.7118702,2219.3638462,3427.0757163999997
4464.0,1197.6188549,2924.9080769,4122.5269318
4462.0,1084.3264504,2479.8076923,3564.1341426999998
4463.0,1745.1267557,3787.3918269,5532.5185826
4400.0,1139.8494274,2614.2458653,3754.0952927
4398.0,704.4210687,2202.5576922,2906.9787609
4399.0,731.4998854,1727.81875,2459.3186354
4397.0,826.970687,2601.8317308,3428.8024178
4590.0,389.41725188,714.87163453,1104.28888641
4591.0,786.7326718,1477.6306731,2264.3633449
4589.0,556.4665649,1707.3808654,2263.8474303
4528.0,926.6838931,2343.0349999,3269.718893
4526.0,562.8250764,1595.1256731,2157.9507495
4527.0,1107.582481,2902.0030768,4009.5855578
4336.0,1126.79702295,2926.3764426,4053.1734655499995
4334.0,399.78896944,1604.4723077,2004.2612771400002
4335.0,333.19931297,1269.8498076,1603.04912057
4272.0,249.16847328,991.4722115,1240.64068478
4270.0,773.10675572,2157.9897116,2931.09646732
4271.0,396.13351139,1143.3783655,1539.51187689
4714.0,1193.9324428,3649.4535574,4843.3860002
4654.0,849.6287786,1532.5109615,2382.1397401
4652.0,1687.0480153,6083.295865,7770.3438803
4653.0,839.3877099,1778.6700961,2618.057806
4651.0,1152.9219466,4301.6977878,5454.619734399999
1406.0,38.02273679,116.80322055,154.82595734
1407.0,55.124366919,170.25644166,225.38080857900002
1350.0,15.142310541,34.218026054,49.360336595
1348.0,29.634909326,99.1649382,128.799847526
1349.0,42.177770561,127.02175131,169.199521871
1346.0,35.462777259,103.318766757,138.781544016
1347.0,23.215747384,70.78499903,94.00074641399999
