id,20_60T9_18,weekend,total_tourists
3440.0,2614.3476718,2767.835577,5382.1832488
3438.0,1486.4718702,2238.373173,3724.8450432
3439.0,2823.5851909,3021.3125966,5844.8977875
3376.0,1786.447977,1684.6553845,3471.1033615
3377.0,2036.07458,1917.0591346,3953.1337146
3564.0,2261.4177862,2708.5173082,4969.9350944
3563.0,1273.8326336,1840.4025961,3114.2352296999998
3502.0,3972.9735493,5392.321058,9365.2946073
3500.0,1445.406832,2253.5392307,3698.9460627
3501.0,1881.5356107,2489.3721155,4370.9077262
3689.0,1261.5151908,2287.2958654,3548.8110562
3626.0,1150.2310688,1847.6751923,2997.9062611
3627.0,2164.5017558,2958.9986533,5123.5004091
